Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,242,"Groundnuts, with shell",2011,2011,tonnes,311409,,Official data
QC,Crops,21,Brazil,5510,Production,242,"Groundnuts, with shell",2012,2012,tonnes,334224,,Official data
QC,Crops,21,Brazil,5510,Production,242,"Groundnuts, with shell",2013,2013,tonnes,389783,,Official data
QC,Crops,21,Brazil,5510,Production,242,"Groundnuts, with shell",2014,2014,tonnes,402626,,Official data
QC,Crops,21,Brazil,5510,Production,839,"Gums, natural",2010,2010,tonnes,55,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,839,"Gums, natural",2011,2011,tonnes,60,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,839,"Gums, natural",2012,2012,tonnes,65,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,839,"Gums, natural",2013,2013,tonnes,60,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,839,"Gums, natural",2014,2014,tonnes,65,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,780,Jute,2010,2010,tonnes,934,,Official data
QC,Crops,21,Brazil,5510,Production,780,Jute,2011,2011,tonnes,1054,,Official data
QC,Crops,21,Brazil,5510,Production,780,Jute,2012,2012,tonnes,993,,Official data
QC,Crops,21,Brazil,5510,Production,780,Jute,2013,2013,tonnes,490,,Official data
QC,Crops,21,Brazil,5510,Production,780,Jute,2014,2014,tonnes,1172,,Official data
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2010,2010,tonnes,1020741,,Official data
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2011,2011,tonnes,1126736,,Official data
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2012,2012,tonnes,1208275,,Official data
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2013,2013,tonnes,1169370,,Official data
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2014,2014,tonnes,1101799,,Official data
QC,Crops,21,Brazil,5510,Production,333,Linseed,2010,2010,tonnes,16159,,Official data
QC,Crops,21,Brazil,5510,Production,333,Linseed,2011,2011,tonnes,11046,,Official data
